Left Inverter Address Claim Timestamp (ms),4519.572
Right Inverter Address Claim Timestamp (ms),3699.541
Left Inverter Invalid to Valid Timestamp (ms),5683.565
Left Inverter Invalid to Valid Timestamp (ms),5803.58

Time Stamp (ms),Left Motor Speed,Right Motor Speed,Left Motor Torque,Right Motor Torque,Left Motor Speed Estimate,Right Motor Speed Estimate
6613.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13762.0,254.5
6618.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13836.5,-735.0
6623.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13878.0,-1261.5
6628.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13902.0,-1540.5
6633.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13916.0,-1688.0
6638.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13925.5,-1765.5
6643.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13932.0,-1805.0
6648.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13937.0,-1825.0
6653.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13941.0,-1834.0
6658.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13944.5,-1838.0
6663.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13948.0,-1838.5
6668.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13951.0,-1838.0
6673.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13954.0,-1836.0
6678.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13956.5,-1834.0
6683.754,0.0,16767.5,0.0,1002.1201171875,13959.5,-1832.0
6688.754,0.0,16767.5,0.0,1002.1201171875,13962.0,-1830.0
6693.754,0.0,16767.5,0.0,1002.1201171875,12941.0,-1759.0
6698.754,0.0,16767.5,0.0,1002.1201171875,12404.0,-1722.5
6703.754,0.0,16767.5,0.0,1002.1201171875,12124.5,-1704.0
6708.754,16767.5,16767.5,1002.1201171875,1002.1201171875,11982.0,-1695.0
6713.754,16767.5,16767.5,1002.1201171875,1002.1201171875,11913.0,-1691.5
6718.754,16767.5,16767.5,1002.1201171875,1002.1201171875,10874.5,-1761.5
6723.754,16767.5,16767.5,1002.1201171875,1002.1201171875,10324.0,-1798.0
6728.754,16767.5,16767.5,1002.1201171875,1002.1201171875,10034.0,-1816.0
6733.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9882.5,-1824.5
6738.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9805.5,-1828.0
6743.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9767.5,-1828.5
6748.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9750.5,-1828.0
6753.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9744.5,-1826.5
6758.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9744.5,-1825.0
6763.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9747.5,-1823.0
6768.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9751.5,-1821.0
6773.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9756.5,-1819.0
6778.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9762.0,-1817.0
6783.754,16767.5,0.0,1002.1201171875,0.0,9767.5,-1815.5
6788.754,16767.5,0.0,1002.1201171875,0.0,9773.0,-1813.5
6793.754,16767.5,0.0,1002.1201171875,0.0,9709.5,-788.0
6798.754,16767.5,0.0,1002.1201171875,0.0,9680.5,-246.5
6803.754,16767.5,0.0,1002.1201171875,0.0,9669.0,37.0
6808.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9667.0,183.0
6813.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9670.0,255.5
6818.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9744.5,-734.0
6823.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9785.5,-1260.0
6828.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9809.5,-1539.5
6833.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9823.5,-1687.0
6838.754,16767.5,16767.5,1002.1201171875,1002.1201171875,9833.0,-1764.0
